# Committing increasingly large files
# 
# vcs:         bup
# vcs_version: debian/0.25-1
# data_gen:    random
# 
# date:          2016-10-15T13:18:00.519953
# commandline:   ./increasing_file_size.py bup 0 39 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   117369b Properly detect large files in Bup commits
# hostname:      murphytest01
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7525604 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest01--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo   c2_time       c2_size   c2_cmd    c2_ver   c2_repo   gc_time       gc_size   gc_cmd   gc_repo
 27  0x0008000000  128.0MiB     8.742     6.579  0x0010164000       ok  verified   assumed     3.679  0x001018a000       ok  verified   assumed     0.000  0x001018a000       ok   assumed
 27  0x000c000000  192.0MiB    13.113     9.208  0x00181fe000       ok  verified   assumed     3.799  0x0018232000       ok  verified   assumed     0.000  0x0018232000       ok   assumed
 28  0x0010000000  256.0MiB    17.484    11.373  0x00202a9000       ok  verified   assumed     5.457  0x00202ed000       ok  verified   assumed     0.000  0x00202ed000       ok   assumed
 28  0x0018000000  384.0MiB    26.220    17.237  0x00303d6000       ok  verified   assumed     7.867  0x0030440000       ok  verified   assumed     0.000  0x0030440000       ok   assumed
 29  0x0020000000  512.0MiB    34.960    22.643  0x0040534000       ok  verified   assumed    13.049  0x00405bb000       ok  verified   assumed     0.000  0x00405bb000       ok   assumed
 29  0x0030000000  768.0MiB    52.626    33.358  0x0060792000       ok  verified   assumed    24.603  0x0060859000       ok  verified   assumed     0.000  0x0060859000       ok   assumed
 30  0x0040000000    1.0GiB    70.029    44.666  0x0080a3b000       ok  verified   assumed    20.146  0x0080b44000       ok  verified   assumed     0.000  0x0080b44000       ok   assumed
 30  0x0060000000    1.5GiB   105.309    66.451  0x00c0f05000       ok  verified   assumed    39.006  0x00c1091000       ok  verified   assumed     0.000  0x00c1091000       ok   assumed
 31  0x0080000000    2.0GiB   140.526    88.409  0x01013d7000       ok  verified   assumed    43.555  0x01015e1000       ok  verified   assumed     0.000  0x01015e1000       ok   assumed
 31  0x00c0000000    3.0GiB   210.400   132.943  0x0181df1000       ok  verified   assumed    61.114  0x01820fe000       ok  verified   assumed     0.000  0x01820fe000       ok   assumed
 32  0x0100000000    4.0GiB   280.631   176.896  0x0202878000       ok  verified   assumed    87.660  0x020369c000       ok  verified   assumed     0.000  0x020369c000       ok   assumed
 32  0x0180000000    6.0GiB   421.231   265.281  0x0304acb000       ok  verified   assumed   127.307  0x03050ea000       ok  verified   assumed     0.000  0x03050ea000       ok   assumed
 33  0x0200000000    8.0GiB   561.507   512.125  0x0405df8000       ok  verified   assumed   165.758  0x0407128000       ok  verified   assumed     0.000  0x0407128000       ok   assumed
 33  0x0300000000   12.0GiB   843.573   780.286  0x0609581000       ok  verified   assumed   254.624  0x060b9cf000       ok  verified   assumed     0.000  0x060b9cf000       ok   assumed
 34  0x0400000000   16.0GiB  1126.400  1062.241  0x080e0e0000       ok  verified   assumed   351.030  0x080e1e7000       ok  verified   assumed     0.000  0x080e1e7000       ok   assumed
 34  0x0600000000   24.0GiB  1690.231  1681.674  0x0c15826000       ok  verified   assumed   541.676  0x0c15517000       ok  verified   assumed     0.000  0x0c15517000       ok   assumed
 35  0x0800000000   32.0GiB  2263.488  2088.024  0x101a214000       ok  verified   assumed   680.368  0x101c270000       ok  verified   assumed     0.000  0x101c270000       ok   assumed
 35  0x0c00000000   48.0GiB  3399.315  3292.801  0x1827451000       ok  verified   assumed  1013.120  0x182a4d9000       ok  verified   assumed     0.000  0x182a4d9000       ok   assumed
 36  0x1000000000   64.0GiB  4544.680  4334.856  0x203ac12000       ok  verified   assumed  1428.782  0x2038890000       ok  verified   assumed     0.000  0x2038890000       ok   assumed
 36  0x1800000000   96.0GiB  6803.267  6626.247  0x304ee73000       ok  verified   assumed  2181.677  0x3054f76000       ok  verified   assumed     0.000  0x3054f76000       ok   assumed
# CallFailedError()
 37  0x2000000000  128.0GiB  9009.449  4561.476        (None)   failed       bad  verified    (None)        (None)  not_executed  not_verified  not_verified    (None)        (None)  not_executed  not_verified
# CallFailedError()
 37  0x3000000000  192.0GiB  13510.140   320.759        (None)   failed       bad  verified    (None)        (None)  not_executed  not_verified  not_verified    (None)        (None)  not_executed  not_verified
# IOError(28, 'No space left on device')
 38  0x4000000000  256.0GiB  13846.537    (None)        (None)  not_executed  not_verified  not_verified    (None)        (None)  not_executed  not_verified  not_verified    (None)        (None)  not_executed  not_verified
# IOError(28, 'No space left on device')
 38  0x6000000000  384.0GiB  13850.008    (None)        (None)  not_executed  not_verified  not_verified    (None)        (None)  not_executed  not_verified  not_verified    (None)        (None)  not_executed  not_verified
