# Committing increasingly large files
# 
# vcs:         git
# vcs_version: git version 2.1.4
# data_gen:    random
# 
# date:          2016-10-16T22:29:41.025930
# commandline:   ./increasing_file_size.py git 0 39 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   d032b44 Fix default result status strings
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7838192 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait   c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait   gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
 19  0x0000080000  512.0KiB     0.038     0.032  0x0000127000       ok  verified   assumed           3           0           1           3           0     0.034  0x00001ad000       ok  verified   assumed           3           0           1           3           0     0.138  0x0000125000       ok   assumed           4           0           1          14          10
 19  0x00000c0000  768.0KiB     0.052     0.039  0x00001a7000       ok  verified   assumed           4           0           1           3           0     0.052  0x000026d000       ok  verified   assumed           5           0           0           5           0     0.118  0x00001a5000       ok   assumed           4           0           1          12           7
 20  0x0000100000    1.0MiB     0.070     0.050  0x0000227000       ok  verified   assumed           4           0           0           4           0     0.069  0x000032d000       ok  verified   assumed           7           0           1           6           0     0.159  0x0000225000       ok   assumed           6           0           2          16           8
 20  0x0000180000    1.5MiB     0.105     0.073  0x0000327000       ok  verified   assumed           7           0           1           7           0     0.096  0x00004ad000       ok  verified   assumed           9           0           1           9           0     0.216  0x0000325000       ok   assumed          10           0           3          22          11
 21  0x0000200000    2.0MiB     0.137     0.095  0x0000427000       ok  verified   assumed          10           0           1          10           0     0.125  0x000062d000       ok  verified   assumed          11           0           1          12           0     0.216  0x0000425000       ok   assumed          11           0           1          21          10
 21  0x0000300000    3.0MiB     0.208     0.140  0x0000627000       ok  verified   assumed          12           0           3          14           0     0.181  0x000092d000       ok  verified   assumed          17           0           1          18           0     0.297  0x0000626000       ok   assumed          14           0           3          30          12
 22  0x0000400000    4.0MiB     0.273     0.185  0x0000827000       ok  verified   assumed          18           0           0          19           0     0.247  0x0000c2d000       ok  verified   assumed          24           0           2          24           0     0.337  0x0000826000       ok   assumed          19           0           4          33          11
 22  0x0000600000    6.0MiB     0.410     0.278  0x0000c27000       ok  verified   assumed          26           0           2          27           0     0.319  0x000122d000       ok  verified   assumed          29           0           2          31           0     0.482  0x0000c27000       ok   assumed          31           0           2          48          15
 23  0x0000800000    8.0MiB     0.546     0.365  0x0001027000       ok  verified   assumed          34           0           2          36           0     0.458  0x000182d000       ok  verified   assumed          44           0           2          45           0     0.606  0x0001027000       ok   assumed          40           0           4          62          15
 23  0x0000c00000   12.0MiB     0.819     0.544  0x0001827000       ok  verified   assumed          53           0           2          55           0     0.609  0x000242d000       ok  verified   assumed          58           0           3          60           0     0.887  0x0001829000       ok   assumed          59           0           7          88          22
