# Committing increasingly large files
# 
# vcs:         bup
# vcs_version: debian/0.25-1
# data_gen:    random
# 
# date:          2016-10-19T13:54:21.820748
# commandline:   ./increasing_file_size.py bup 0 38 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   f01eee6 Fix magnitude/steps for base-10
# hostname:      murphytest01
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7939500 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest01--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait   c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait   gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
 15  0x000000c000   48.0KiB     0.004     0.894  0x000003b000       ok  verified   assumed          21           0           6         147           5     0.969  0x0000041000       ok  verified   assumed          21           0           7         164           3     0.000  0x0000041000       ok   assumed           0           0           0           0           0
 16  0x0000010000   64.0KiB     0.004     0.928  0x0000043000       ok  verified   assumed          19           0           9         154           5     0.980  0x0000048000       ok  verified   assumed          19           0           9         167           0     0.000  0x0000048000       ok   assumed           0           0           1           0           0
 16  0x0000018000   96.0KiB     0.008     0.905  0x0000053000       ok  verified   assumed          18           0           7         152           3     0.979  0x0000055000       ok  verified   assumed          23           0           5         169           0     0.000  0x0000055000       ok   assumed           0           0           1           0           0
 17  0x0000020000  128.0KiB     0.010     0.898  0x0000063000       ok  verified   assumed          19           0           8         149           3     0.985  0x0000066000       ok  verified   assumed          20           0           7         168           3     0.000  0x0000066000       ok   assumed           0           0           0           0           0
 17  0x0000030000  192.0KiB     0.015     0.902  0x0000083000       ok  verified   assumed          20           0           7         149           4     0.958  0x0000089000       ok  verified   assumed          23           0           7         164           0     0.000  0x0000089000       ok   assumed           0           0           0           0           0
 18  0x0000040000  256.0KiB     0.019     0.924  0x00000a3000       ok  verified   assumed          20           0           8         153           3     0.977  0x00000ab000       ok  verified   assumed          21           0           6         165           2     0.000  0x00000ab000       ok   assumed           0           0           0           1           0
 18  0x0000060000  384.0KiB     0.027     0.904  0x00000e3000       ok  verified   assumed          21           0           8         147           5     0.962  0x00000ea000       ok  verified   assumed          21           0           7         159           5     0.000  0x00000ea000       ok   assumed           0           0           0           0           0
 19  0x0000080000  512.0KiB     0.036     0.889  0x0000123000       ok  verified   assumed          24           0           7         144           4     0.980  0x000012a000       ok  verified   assumed          18           0           9         167           0     0.000  0x000012a000       ok   assumed           0           0           0           0           0
 19  0x00000c0000  768.0KiB     0.053     0.877  0x00001a4000       ok  verified   assumed          24           0           6         138           7     0.976  0x00001ae000       ok  verified   assumed          22           0           8         167           0     0.000  0x00001ae000       ok   assumed           0           0           0           0           0
 20  0x0000100000    1.0MiB     0.073     0.839  0x0000225000       ok  verified   assumed          22           0          10         131           5     0.942  0x000022a000       ok  verified   assumed          21           0           6         159           3     0.000  0x000022a000       ok   assumed           0           0           0           0           0
 20  0x0000180000    1.5MiB     0.107     0.848  0x0000326000       ok  verified   assumed          24           0           8         129           8     0.978  0x000032c000       ok  verified   assumed          22           0           8         165           0     0.000  0x000032c000       ok   assumed           0           0           0           0           0
 21  0x0000200000    2.0MiB     0.137     0.804  0x0000428000       ok  verified   assumed          27           0           7         123           3     0.923  0x000042d000       ok  verified   assumed          23           0           7         155           0     0.000  0x000042d000       ok   assumed           0           0           0           0           0
 21  0x0000300000    3.0MiB     0.205     0.789  0x000062a000       ok  verified   assumed          29           0          10         114           4     0.901  0x0000631000       ok  verified   assumed          24           0           6         146           4     0.000  0x0000631000       ok   assumed           0           0           0           0           0
 22  0x0000400000    4.0MiB     0.275     0.762  0x000082d000       ok  verified   assumed          39           0           6         103           4     0.899  0x0000831000       ok  verified   assumed          23           0           8         146           2     0.000  0x0000831000       ok   assumed           0           0           0           0           0
 22  0x0000600000    6.0MiB     0.411     0.644  0x0000c30000       ok  verified   assumed          43           0           9          73           5     0.842  0x0000c38000       ok  verified   assumed          27           0           8         129           4     0.000  0x0000c38000       ok   assumed           0           0           0           0           0
 23  0x0000800000    8.0MiB     0.548     1.569  0x0001038000       ok  verified   assumed          50           0          12         244           7     0.780  0x000103e000       ok  verified   assumed          27           0          11         112           6     0.000  0x000103e000       ok   assumed           0           0           0           0           0
 23  0x0000c00000   12.0MiB     0.820     1.424  0x0001840000       ok  verified   assumed          65           0          12         204           3     0.661  0x0001846000       ok  verified   assumed          33           0           8          83           8     0.000  0x0001846000       ok   assumed           0           0           0           0           0
 24  0x0001000000   16.0MiB     1.094     1.228  0x000204b000       ok  verified   assumed          82           0          12         147           5     1.627  0x0002053000       ok  verified   assumed          39           0          10         264          10     0.000  0x0002053000       ok   assumed           1           0           0           0           0
 24  0x0001800000   24.0MiB     1.639     1.908  0x000305e000       ok  verified   assumed         111           0          19         242          10     1.330  0x0003069000       ok  verified   assumed          47           0           9         198          13     0.000  0x0003069000       ok   assumed           0           0           0           0           0
