# Committing increasingly large files
# 
# vcs:         bup
# vcs_version: debian/0.25-1
# data_gen:    random
# 
# date:          2016-10-20T17:58:18.597778
# commandline:   ./increasing_file_size.py bup 0 38 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   f01eee6 Fix magnitude/steps for base-10
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7818984 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait   c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait   gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
 22  0x0000600000    6.0MiB     0.413     0.614  0x0000c30000       ok  verified   assumed          44           0           9          65           4     0.835  0x0000c36000       ok  verified   assumed          26           0          10         126           6     0.000  0x0000c36000       ok   assumed           0           0           0           0           0
 23  0x0000800000    8.0MiB     0.548     1.576  0x0001037000       ok  verified   assumed          52           0          10         250           3     0.778  0x000103d000       ok  verified   assumed          28           0           8         112           7     0.000  0x000103d000       ok   assumed           0           0           0           0           0
 23  0x0000c00000   12.0MiB     0.820     1.431  0x0001840000       ok  verified   assumed          71           0           6         204           5     0.664  0x0001847000       ok  verified   assumed          36           0           7          84           7     0.000  0x0001847000       ok   assumed           0           0           0           0           0
 24  0x0001000000   16.0MiB     1.096     1.268  0x000204b000       ok  verified   assumed          84           0          11         151           6     1.539  0x0002052000       ok  verified   assumed          41           0           7         250           9     0.000  0x0002052000       ok   assumed           0           0           0           0           0
 24  0x0001800000   24.0MiB     1.641     1.938  0x000305d000       ok  verified   assumed         116           0          13         249           9     1.340  0x000306e000       ok  verified   assumed          47           0          12         198          12     0.000  0x000306e000       ok   assumed           0           0           0           1           0
 25  0x0002000000   32.0MiB     2.186     2.599  0x0004074000       ok  verified   assumed         150           0          13         345          11     1.128  0x000407f000       ok  verified   assumed          55           0          10         141          19     0.000  0x000407f000       ok   assumed           0           0           0           1           0
 25  0x0003000000   48.0MiB     3.281     3.026  0x000609b000       ok  verified   assumed         212           0          22         362          10     1.864  0x00060aa000       ok  verified   assumed          72           0          15         242          42     0.000  0x00060aa000       ok   assumed           0           0           0           0           0
 26  0x0004000000   64.0MiB     4.375     3.047  0x00080c2000       ok  verified   assumed         275           0          25         293          14     2.241  0x00080d5000       ok  verified   assumed          95           0          13         309          32     0.000  0x00080d5000       ok   assumed           0           0           0           0           0
 26  0x0006000000   96.0MiB     6.556     5.147  0x000c10f000       ok  verified   assumed         399           0          38         579          13     2.429  0x000c131000       ok  verified   assumed         131           0          21         287          46     0.000  0x000c131000       ok   assumed           0           0           0           0           0
 27  0x0008000000  128.0MiB     8.743     6.592  0x0010165000       ok  verified   assumed         532           0          41         729          12     3.541  0x001018d000       ok  verified   assumed         173           0          24         462          50     0.000  0x001018d000       ok   assumed           0           0           0           0           0
