# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       3d/6927a52dd8a08b77bcc637286b73b78e6ae88a
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          1
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-21T22:45:24.120816
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=1 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f7aa795 FS test: Collect inode data instead of `du`
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7522576 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth         f_num       d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail  inode_total  inode_used  inode_avail
0x0000001000          2          1           116             1      0.000        ok       0.000  0x0005cd3800  0x000022c400  0x00058a7400        25688         220        25468
0x0000001000          2          1           117             1      0.000        ok       0.000  0x0005cd3800  0x000022dc00  0x00058a5c00        25688         222        25466
0x0000001000          2          1           118             1      0.000        ok       0.000  0x0005cd3800  0x000022f400  0x00058a4400        25688         224        25464
0x0000001000          2          1           119             1      0.000        ok       0.000  0x0005cd3800  0x0000230c00  0x00058a2c00        25688         226        25462
0x0000001000          2          1           120             1      0.000        ok       0.000  0x0005cd3800  0x0000232400  0x00058a1400        25688         228        25460
0x0000001000          2          1           121             1      0.000        ok       0.000  0x0005cd3800  0x0000233c00  0x000589fc00        25688         230        25458
0x0000001000          2          1           122             3      0.000        ok       0.000  0x0005cd3800  0x0000235000  0x000589e800        25688         231        25457
0x0000001000          2          1           123             1      0.000        ok       0.000  0x0005cd3800  0x0000236800  0x000589d000        25688         233        25455
0x0000001000          2          1           124             2      0.000        ok       0.000  0x0005cd3800  0x0000237c00  0x000589bc00        25688         234        25454
0x0000001000          2          1           125             2      0.000        ok       0.000  0x0005cd3800  0x0000239000  0x000589a800        25688         235        25453
0x0000001000          2          1           126             1      0.000        ok       0.000  0x0005cd3800  0x000023a800  0x0005899000        25688         237        25451
0x0000001000          2          1           127             1      0.000        ok       0.000  0x0005cd3800  0x000023c000  0x0005897800        25688         239        25449
0x0000001000          2          1           128             3      0.000        ok       0.000  0x0005cd3800  0x000023d400  0x0005896400        25688         240        25448
0x0000001000          2          1           129             1      0.000        ok       0.000  0x0005cd3800  0x000023ec00  0x0005894c00        25688         242        25446
0x0000001000          2          1           130             2      0.000        ok       0.000  0x0005cd3800  0x0000240000  0x0005893800        25688         243        25445
0x0000001000          2          1           131             2      0.000        ok       0.000  0x0005cd3800  0x0000241400  0x0005892400        25688         244        25444
0x0000001000          2          1           132             1      0.000        ok       0.000  0x0005cd3800  0x0000242c00  0x0005890c00        25688         246        25442
0x0000001000          2          1           133             2      0.000        ok       0.000  0x0005cd3800  0x0000244000  0x000588f800        25688         247        25441
0x0000001000          2          1           134             1      0.000        ok       0.000  0x0005cd3800  0x0000245800  0x000588e000        25688         249        25439
0x0000001000          2          1           135             1      0.000        ok       0.000  0x0005cd3800  0x0000247000  0x000588c800        25688         251        25437
0x0000001000          2          1           136             1      0.000        ok       0.000  0x0005cd3800  0x0000248800  0x000588b000        25688         253        25435
0x0000001000          2          1           137             1      0.000        ok       0.000  0x0005cd3800  0x000024a000  0x0005889800        25688         255        25433
0x0000001000          2          1           138             2      0.000        ok       0.000  0x0005cd3800  0x000024b400  0x0005888400        25688         256        25432
0x0000001000          2          1           139             2      0.000        ok       0.000  0x0005cd3800  0x000024c800  0x0005887000        25688         257        25431
0x0000001000          2          1           140             2      0.000        ok       0.000  0x0005cd3800  0x000024dc00  0x0005885c00        25688         258        25430
0x0000001000          2          1           141             1      0.000        ok       0.000  0x0005cd3800  0x000024f400  0x0005884400        25688         260        25428
0x0000001000          2          1           142             2      0.000        ok       0.000  0x0005cd3800  0x0000250800  0x0005883000        25688         261        25427
0x0000001000          2          1           143             1      0.000        ok       0.000  0x0005cd3800  0x0000252000  0x0005881800        25688         263        25425
0x0000001000          2          1           144             2      0.000        ok       0.000  0x0005cd3800  0x0000253400  0x0005880400        25688         264        25424
0x0000001000          2          1           145             1      0.000        ok       0.000  0x0005cd3800  0x0000254c00  0x000587ec00        25688         266        25422
0x0000001000          2          1           146             1      0.000        ok       0.000  0x0005cd3800  0x0000256400  0x000587d400        25688         268        25420
0x0000001000          2          1           147             2      0.000        ok       0.000  0x0005cd3800  0x0000257800  0x000587c000        25688         269        25419
0x0000001000          2          1           148             2      0.000        ok       0.000  0x0005cd3800  0x0000258c00  0x000587ac00        25688         270        25418
0x0000001000          2          1           149             1      0.000        ok       0.000  0x0005cd3800  0x000025a400  0x0005879400        25688         272        25416
0x0000001000          2          1           150             3      0.000        ok       0.000  0x0005cd3800  0x000025b800  0x0005878000        25688         273        25415
0x0000001000          2          1           151             2      0.000        ok       0.000  0x0005cd3800  0x000025cc00  0x0005876c00        25688         274        25414
0x0000001000          2          1           152             2      0.000        ok       0.000  0x0005cd3800  0x000025e000  0x0005875800        25688         275        25413
0x0000001000          2          1           153             2      0.000        ok       0.000  0x0005cd3800  0x000025f400  0x0005874400        25688         276        25412
0x0000001000          2          1           154             1      0.000        ok       0.000  0x0005cd3800  0x0000260c00  0x0005872c00        25688         278        25410
0x0000001000          2          1           155             1      0.000        ok       0.000  0x0005cd3800  0x0000262400  0x0005871400        25688         280        25408
0x0000001000          2          1           156             1      0.000        ok       0.000  0x0005cd3800  0x0000263c00  0x000586fc00        25688         282        25406
0x0000001000          2          1           157             1      0.000        ok       0.000  0x0005cd3800  0x0000265400  0x000586e400        25688         284        25404
0x0000001000          2          1           158             1      0.000        ok       0.000  0x0005cd3800  0x0000266c00  0x000586cc00        25688         286        25402
0x0000001000          2          1           159             1      0.000        ok       0.000  0x0005cd3800  0x0000268400  0x000586b400        25688         288        25400
0x0000001000          2          1           160             2      0.000        ok       0.000  0x0005cd3800  0x0000269800  0x000586a000        25688         289        25399
0x0000001000          2          1           161             2      0.000        ok       0.000  0x0005cd3800  0x000026ac00  0x0005868c00        25688         290        25398
0x0000001000          2          1           162             2      0.000        ok       0.000  0x0005cd3800  0x000026c000  0x0005867800        25688         291        25397
0x0000001000          2          1           163             1      0.000        ok       0.000  0x0005cd3800  0x000026d800  0x0005866000        25688         293        25395
0x0000001000          2          1           164             3      0.000        ok       0.000  0x0005cd3800  0x000026ec00  0x0005864c00        25688         294        25394
0x0000001000          2          1           165             1      0.000        ok       0.000  0x0005cd3800  0x0000270400  0x0005863400        25688         296        25392
0x0000001000          2          1           166             2      0.000        ok       0.000  0x0005cd3800  0x0000271800  0x0005862000        25688         297        25391
0x0000001000          2          1           167             1      0.000        ok       0.000  0x0005cd3800  0x0000273000  0x0005860800        25688         299        25389
0x0000001000          2          1           168             2      0.000        ok       0.000  0x0005cd3800  0x0000274400  0x000585f400        25688         300        25388
0x0000001000          2          1           169             1      0.000        ok       0.000  0x0005cd3800  0x0000275c00  0x000585dc00        25688         302        25386
0x0000001000          2          1           170             1      0.000        ok       0.000  0x0005cd3800  0x0000277400  0x000585c400        25688         304        25384
0x0000001000          2          1           171             2      0.000        ok       0.000  0x0005cd3800  0x0000278800  0x000585b000        25688         305        25383
0x0000001000          2          1           172             3      0.000        ok       0.000  0x0005cd3800  0x0000279c00  0x0005859c00        25688         306        25382
0x0000001000          2          1           173             1      0.000        ok       0.000  0x0005cd3800  0x000027b400  0x0005858400        25688         308        25380
0x0000001000          2          1           174             1      0.000        ok       0.000  0x0005cd3800  0x000027cc00  0x0005856c00        25688         310        25378
0x0000001000          2          1           175             4      0.000        ok       0.000  0x0005cd3800  0x000027e000  0x0005855800        25688         311        25377
0x0000001000          2          1           176             1      0.000        ok       0.000  0x0005cd3800  0x000027f800  0x0005854000        25688         313        25375
0x0000001000          2          1           177             2      0.000        ok       0.000  0x0005cd3800  0x0000280c00  0x0005852c00        25688         314        25374
0x0000001000          2          1           178             2      0.000        ok       0.000  0x0005cd3800  0x0000282000  0x0005851800        25688         315        25373
0x0000001000          2          1           179             2      0.000        ok       0.000  0x0005cd3800  0x0000283400  0x0005850400        25688         316        25372
0x0000001000          2          1           180             1      0.000        ok       0.000  0x0005cd3800  0x0000284c00  0x000584ec00        25688         318        25370
0x0000001000          2          1           181             1      0.000        ok       0.000  0x0005cd3800  0x0000286400  0x000584d400        25688         320        25368
0x0000001000          2          1           182             2      0.000        ok       0.000  0x0005cd3800  0x0000287800  0x000584c000        25688         321        25367
0x0000001000          2          1           183             1      0.000        ok       0.000  0x0005cd3800  0x0000289000  0x000584a800        25688         323        25365
0x0000001000          2          1           184             1      0.000        ok       0.000  0x0005cd3800  0x000028a800  0x0005849000        25688         325        25363
0x0000001000          2          1           185             1      0.000        ok       0.000  0x0005cd3800  0x000028c000  0x0005847800        25688         327        25361
0x0000001000          2          1           186             1      0.000        ok       0.000  0x0005cd3800  0x000028d800  0x0005846000        25688         329        25359
0x0000001000          2          1           187             1      0.000        ok       0.000  0x0005cd3800  0x000028f000  0x0005844800        25688         331        25357
0x0000001000          2          1           188             1      0.000        ok       0.000  0x0005cd3800  0x0000290800  0x0005843000        25688         333        25355
0x0000001000          2          1           189             2      0.000        ok       0.000  0x0005cd3800  0x0000291c00  0x0005841c00        25688         334        25354
0x0000001000          2          1           190             1      0.000        ok       0.000  0x0005cd3800  0x0000293400  0x0005840400        25688         336        25352
0x0000001000          2          1           191             3      0.000        ok       0.000  0x0005cd3800  0x0000294800  0x000583f000        25688         337        25351
0x0000001000          2          1           192             2      0.000        ok       0.000  0x0005cd3800  0x0000295c00  0x000583dc00        25688         338        25350
0x0000001000          2          1           193             3      0.000        ok       0.000  0x0005cd3800  0x0000297000  0x000583c800        25688         339        25349
0x0000001000          2          1           194             2      0.000        ok       0.000  0x0005cd3800  0x0000298400  0x000583b400        25688         340        25348
