# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       f9/b1/0e99c62e2bd8fb8345712f15a61aaf981ec1
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          2
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-21T22:04:01.679652
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=2 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   e185b7d FS test: measure disk free in parent dir
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7611744 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth         f_num       d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail            du    du_time
0x0000001000          2          2            66             1      0.000        ok       0.000  0x0005cd3800  0x00001f5400  0x00058de400  0x0000061400      0.003
0x0000001000          2          2            67             1      0.000        ok       0.000  0x0005cd3800  0x00001f7000  0x00058dc800  0x0000062c00      0.003
0x0000001000          2          2            68             1      0.000        ok       0.000  0x0005cd3800  0x00001f8c00  0x00058dac00  0x0000064400      0.003
0x0000001000          2          2            69             1      0.000        ok       0.000  0x0005cd3800  0x00001fa800  0x00058d9000  0x0000065c00      0.003
0x0000001000          2          2            70             1      0.000        ok       0.000  0x0005cd3800  0x00001fc400  0x00058d7400  0x0000067400      0.003
0x0000001000          2          2            71             1      0.000        ok       0.000  0x0005cd3800  0x00001fe000  0x00058d5800  0x0000068c00      0.003
0x0000001000          2          2            72             1      0.000        ok       0.000  0x0005cd3800  0x00001ffc00  0x00058d3c00  0x000006a400      0.003
0x0000001000          2          2            73             1      0.000        ok       0.000  0x0005cd3800  0x0000201400  0x00058d2400  0x000006b800      0.003
0x0000001000          2          2            74             1      0.000        ok       0.000  0x0005cd3800  0x0000203000  0x00058d0800  0x000006d000      0.003
0x0000001000          2          2            75             1      0.000        ok       0.000  0x0005cd3800  0x0000204c00  0x00058cec00  0x000006e800      0.003
0x0000001000          2          2            76             1      0.000        ok       0.000  0x0005cd3800  0x0000206800  0x00058cd000  0x0000070000      0.003
0x0000001000          2          2            77             1      0.000        ok       0.000  0x0005cd3800  0x0000208400  0x00058cb400  0x0000071800      0.003
0x0000001000          2          2            78             1      0.000        ok       0.000  0x0005cd3800  0x0000209c00  0x00058c9c00  0x0000072c00      0.003
0x0000001000          2          2            79             1      0.000        ok       0.000  0x0005cd3800  0x000020b400  0x00058c8400  0x0000074000      0.003
