# Simulating growing object file directories
# 
# dir_split:          0
# example_file:       286922902b0b8a2ce8557c3cc06faa48d50b5a56
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          0
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-21T22:16:51.355706
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=0 --dir-depth=0 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   e185b7d FS test: measure disk free in parent dir
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7516088 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth         f_num       d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail            du    du_time
0x0000001000          0          0           106           106      0.000        ok       0.000  0x0005cd3800  0x000020a800  0x00058c9000  0x000006c800      0.002
0x0000001000          0          0           107           107      0.000        ok       0.000  0x0005cd3800  0x000020bc00  0x00058c7c00  0x000006d800      0.002
0x0000001000          0          0           108           108      0.000        ok       0.000  0x0005cd3800  0x000020d000  0x00058c6800  0x000006e800      0.002
0x0000001000          0          0           109           109      0.000        ok       0.000  0x0005cd3800  0x000020e800  0x00058c5000  0x000006fc00      0.002
0x0000001000          0          0           110           110      0.000        ok       0.000  0x0005cd3800  0x000020fc00  0x00058c3c00  0x0000070c00      0.002
0x0000001000          0          0           111           111      0.000        ok       0.000  0x0005cd3800  0x0000211000  0x00058c2800  0x0000071c00      0.002
0x0000001000          0          0           112           112      0.000        ok       0.000  0x0005cd3800  0x0000212400  0x00058c1400  0x0000072c00      0.002
0x0000001000          0          0           113           113      0.000        ok       0.000  0x0005cd3800  0x0000213800  0x00058c0000  0x0000073c00      0.002
0x0000001000          0          0           114           114      0.000        ok       0.000  0x0005cd3800  0x0000214c00  0x00058bec00  0x0000074c00      0.002
0x0000001000          0          0           115           115      0.000        ok       0.000  0x0005cd3800  0x0000216000  0x00058bd800  0x0000075c00      0.002
0x0000001000          0          0           116           116      0.000        ok       0.000  0x0005cd3800  0x0000217400  0x00058bc400  0x0000076c00      0.002
0x0000001000          0          0           117           117      0.000        ok       0.000  0x0005cd3800  0x0000218800  0x00058bb000  0x0000077c00      0.002
0x0000001000          0          0           118           118      0.000        ok       0.000  0x0005cd3800  0x0000219c00  0x00058b9c00  0x0000078c00      0.002
0x0000001000          0          0           119           119      0.000        ok       0.000  0x0005cd3800  0x000021b000  0x00058b8800  0x0000079c00      0.002
0x0000001000          0          0           120           120      0.000        ok       0.000  0x0005cd3800  0x000021c400  0x00058b7400  0x000007ac00      0.002
0x0000001000          0          0           121           121      0.000        ok       0.000  0x0005cd3800  0x000021d800  0x00058b6000  0x000007bc00      0.002
0x0000001000          0          0           122           122      0.000        ok       0.000  0x0005cd3800  0x000021ec00  0x00058b4c00  0x000007cc00      0.002
0x0000001000          0          0           123           123      0.000        ok       0.000  0x0005cd3800  0x0000220000  0x00058b3800  0x000007dc00      0.002
0x0000001000          0          0           124           124      0.000        ok       0.000  0x0005cd3800  0x0000221400  0x00058b2400  0x000007ec00      0.002
0x0000001000          0          0           125           125      0.000        ok       0.000  0x0005cd3800  0x0000222800  0x00058b1000  0x000007fc00      0.002
0x0000001000          0          0           126           126      0.000        ok       0.000  0x0005cd3800  0x0000223c00  0x00058afc00  0x0000080c00      0.002
0x0000001000          0          0           127           127      0.000        ok       0.000  0x0005cd3800  0x0000225000  0x00058ae800  0x0000081c00      0.002
0x0000001000          0          0           128           128      0.000        ok       0.000  0x0005cd3800  0x0000226400  0x00058ad400  0x0000082c00      0.002
0x0000001000          0          0           129           129      0.000        ok       0.000  0x0005cd3800  0x0000227800  0x00058ac000  0x0000083c00      0.002
0x0000001000          0          0           130           130      0.000        ok       0.000  0x0005cd3800  0x0000228c00  0x00058aac00  0x0000084c00      0.002
0x0000001000          0          0           131           131      0.000        ok       0.000  0x0005cd3800  0x000022a000  0x00058a9800  0x0000085c00      0.002
0x0000001000          0          0           132           132      0.000        ok       0.000  0x0005cd3800  0x000022b400  0x00058a8400  0x0000086c00      0.002
0x0000001000          0          0           133           133      0.000        ok       0.000  0x0005cd3800  0x000022c800  0x00058a7000  0x0000087c00      0.002
0x0000001000          0          0           134           134      0.000        ok       0.000  0x0005cd3800  0x000022dc00  0x00058a5c00  0x0000088c00      0.002
0x0000001000          0          0           135           135      0.000        ok       0.000  0x0005cd3800  0x000022f000  0x00058a4800  0x0000089c00      0.002
0x0000001000          0          0           136           136      0.000        ok       0.000  0x0005cd3800  0x0000230400  0x00058a3400  0x000008ac00      0.002
0x0000001000          0          0           137           137      0.000        ok       0.000  0x0005cd3800  0x0000231800  0x00058a2000  0x000008bc00      0.002
0x0000001000          0          0           138           138      0.000        ok       0.000  0x0005cd3800  0x0000232c00  0x00058a0c00  0x000008cc00      0.002
0x0000001000          0          0           139           139      0.000        ok       0.000  0x0005cd3800  0x0000234000  0x000589f800  0x000008dc00      0.002
0x0000001000          0          0           140           140      0.000        ok       0.000  0x0005cd3800  0x0000235400  0x000589e400  0x000008ec00      0.002
0x0000001000          0          0           141           141      0.000        ok       0.000  0x0005cd3800  0x0000236800  0x000589d000  0x000008fc00      0.002
0x0000001000          0          0           142           142      0.000        ok       0.000  0x0005cd3800  0x0000237c00  0x000589bc00  0x0000090c00      0.002
0x0000001000          0          0           143           143      0.000        ok       0.000  0x0005cd3800  0x0000239000  0x000589a800  0x0000091c00      0.002
0x0000001000          0          0           144           144      0.000        ok       0.000  0x0005cd3800  0x000023a400  0x0005899400  0x0000092c00      0.002
0x0000001000          0          0           145           145      0.000        ok       0.000  0x0005cd3800  0x000023b800  0x0005898000  0x0000093c00      0.002
0x0000001000          0          0           146           146      0.000        ok       0.000  0x0005cd3800  0x000023cc00  0x0005896c00  0x0000094c00      0.002
0x0000001000          0          0           147           147      0.000        ok       0.000  0x0005cd3800  0x000023e000  0x0005895800  0x0000095c00      0.002
0x0000001000          0          0           148           148      0.000        ok       0.000  0x0005cd3800  0x000023f400  0x0005894400  0x0000096c00      0.002
0x0000001000          0          0           149           149      0.000        ok       0.000  0x0005cd3800  0x0000240800  0x0005893000  0x0000097c00      0.002
0x0000001000          0          0           150           150      0.000        ok       0.000  0x0005cd3800  0x0000241c00  0x0005891c00  0x0000098c00      0.002
0x0000001000          0          0           151           151      0.000        ok       0.000  0x0005cd3800  0x0000243000  0x0005890800  0x0000099c00      0.002
0x0000001000          0          0           152           152      0.000        ok       0.000  0x0005cd3800  0x0000244800  0x000588f000  0x000009b000      0.002
0x0000001000          0          0           153           153      0.000        ok       0.000  0x0005cd3800  0x0000245c00  0x000588dc00  0x000009c000      0.002
0x0000001000          0          0           154           154      0.000        ok       0.000  0x0005cd3800  0x0000247000  0x000588c800  0x000009d000      0.002
0x0000001000          0          0           155           155      0.000        ok       0.000  0x0005cd3800  0x0000248400  0x000588b400  0x000009e000      0.002
0x0000001000          0          0           156           156      0.000        ok       0.000  0x0005cd3800  0x0000249800  0x000588a000  0x000009f000      0.005
0x0000001000          0          0           157           157      0.000        ok       0.000  0x0005cd3800  0x000024ac00  0x0005888c00  0x00000a0000      0.002
0x0000001000          0          0           158           158      0.000        ok       0.000  0x0005cd3800  0x000024c000  0x0005887800  0x00000a1000      0.002
0x0000001000          0          0           159           159      0.000        ok       0.000  0x0005cd3800  0x000024d400  0x0005886400  0x00000a2000      0.002
0x0000001000          0          0           160           160      0.000        ok       0.000  0x0005cd3800  0x000024e800  0x0005885000  0x00000a3000      0.002
0x0000001000          0          0           161           161      0.000        ok       0.000  0x0005cd3800  0x000024fc00  0x0005883c00  0x00000a4000      0.002
0x0000001000          0          0           162           162      0.000        ok       0.000  0x0005cd3800  0x0000251400  0x0005882400  0x00000a5400      0.002
0x0000001000          0          0           163           163      0.000        ok       0.000  0x0005cd3800  0x0000252800  0x0005881000  0x00000a6400      0.002
0x0000001000          0          0           164           164      0.000        ok       0.000  0x0005cd3800  0x0000253c00  0x000587fc00  0x00000a7400      0.002
0x0000001000          0          0           165           165      0.000        ok       0.000  0x0005cd3800  0x0000255000  0x000587e800  0x00000a8400      0.002
0x0000001000          0          0           166           166      0.000        ok       0.000  0x0005cd3800  0x0000256400  0x000587d400  0x00000a9400      0.002
0x0000001000          0          0           167           167      0.000        ok       0.000  0x0005cd3800  0x0000257800  0x000587c000  0x00000aa400      0.002
0x0000001000          0          0           168           168      0.000        ok       0.000  0x0005cd3800  0x0000258c00  0x000587ac00  0x00000ab400      0.002
0x0000001000          0          0           169           169      0.000        ok       0.000  0x0005cd3800  0x000025a400  0x0005879400  0x00000ac800      0.002
0x0000001000          0          0           170           170      0.000        ok       0.000  0x0005cd3800  0x000025b800  0x0005878000  0x00000ad800      0.002
0x0000001000          0          0           171           171      0.000        ok       0.000  0x0005cd3800  0x000025cc00  0x0005876c00  0x00000ae800      0.002
0x0000001000          0          0           172           172      0.000        ok       0.000  0x0005cd3800  0x000025e000  0x0005875800  0x00000af800      0.002
0x0000001000          0          0           173           173      0.000        ok       0.000  0x0005cd3800  0x000025f400  0x0005874400  0x00000b0800      0.002
0x0000001000          0          0           174           174      0.000        ok       0.000  0x0005cd3800  0x0000260800  0x0005873000  0x00000b1800      0.002
0x0000001000          0          0           175           175      0.000        ok       0.000  0x0005cd3800  0x0000261c00  0x0005871c00  0x00000b2800      0.002
0x0000001000          0          0           176           176      0.000        ok       0.000  0x0005cd3800  0x0000263000  0x0005870800  0x00000b3800      0.002
0x0000001000          0          0           177           177      0.000        ok       0.000  0x0005cd3800  0x0000264800  0x000586f000  0x00000b4c00      0.002
0x0000001000          0          0           178           178      0.000        ok       0.000  0x0005cd3800  0x0000265c00  0x000586dc00  0x00000b5c00      0.002
0x0000001000          0          0           179           179      0.000        ok       0.000  0x0005cd3800  0x0000267000  0x000586c800  0x00000b6c00      0.002
0x0000001000          0          0           180           180      0.000        ok       0.000  0x0005cd3800  0x0000268400  0x000586b400  0x00000b7c00      0.002
0x0000001000          0          0           181           181      0.000        ok       0.000  0x0005cd3800  0x0000269800  0x000586a000  0x00000b8c00      0.002
0x0000001000          0          0           182           182      0.000        ok       0.000  0x0005cd3800  0x000026ac00  0x0005868c00  0x00000b9c00      0.002
0x0000001000          0          0           183           183      0.000        ok       0.000  0x0005cd3800  0x000026c000  0x0005867800  0x00000bac00      0.002
