# Committing increasingly large files
# 
# vcs:         hg
# vcs_version: Mercurial Distributed SCM (version 3.1.2)
# data_gen:    random
# 
# date:          2016-10-15T13:18:24.131130
# commandline:   ./increasing_file_size.py hg 0 33 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   117369b Properly detect large files in Bup commits
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7789248 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo   c2_time       c2_size   c2_cmd    c2_ver   c2_repo   gc_time       gc_size   gc_cmd   gc_repo
 21  0x0000300000    3.0MiB     0.205     0.238  0x0000615000       ok  verified   assumed     0.117  0x0000616000       ok  verified   assumed     0.000  0x0000616000       ok   assumed
 22  0x0000400000    4.0MiB     0.273     0.284  0x0000815000       ok  verified   assumed     0.138  0x0000817000       ok  verified   assumed     0.000  0x0000817000       ok   assumed
 22  0x0000600000    6.0MiB     0.410     0.374  0x0000c15000       ok  verified   assumed     0.180  0x0000c17000       ok  verified   assumed     0.000  0x0000c17000       ok   assumed
 23  0x0000800000    8.0MiB     0.546     0.465  0x0001015000       ok  verified   assumed     0.221  0x0001018000       ok  verified   assumed     0.000  0x0001018000       ok   assumed
 23  0x0000c00000   12.0MiB     0.820     0.646  0x0001815000       ok  verified   assumed     0.306  0x0001819000       ok  verified   assumed     0.000  0x0001819000       ok   assumed
 24  0x0001000000   16.0MiB     1.092     0.826  0x0002015000       ok  verified   assumed     0.389  0x000201a000       ok  verified   assumed     0.000  0x000201a000       ok   assumed
 24  0x0001800000   24.0MiB     1.639     1.190  0x0003015000       ok  verified   assumed     0.560  0x000301c000       ok  verified   assumed     0.000  0x000301c000       ok   assumed
 25  0x0002000000   32.0MiB     2.185     1.554  0x0004015000       ok  verified   assumed     0.738  0x000401e000       ok  verified   assumed     0.000  0x000401e000       ok   assumed
 25  0x0003000000   48.0MiB     3.277     2.264  0x0006015000       ok  verified   assumed     1.077  0x0006022000       ok  verified   assumed     0.000  0x0006022000       ok   assumed
 26  0x0004000000   64.0MiB     4.372     2.975  0x0008015000       ok  verified   assumed     1.418  0x0008026000       ok  verified   assumed     0.000  0x0008026000       ok   assumed
 26  0x0006000000   96.0MiB     6.553     4.401  0x000c015000       ok  verified   assumed     2.104  0x000c02e000       ok  verified   assumed     0.000  0x000c02e000       ok   assumed
 27  0x0008000000  128.0MiB     8.738     6.168  0x0010015000       ok  verified   assumed     2.795  0x0010036000       ok  verified   assumed     0.000  0x0010036000       ok   assumed
 27  0x000c000000  192.0MiB    13.109     8.672  0x0018015000       ok  verified   assumed     4.152  0x0018046000       ok  verified   assumed     0.000  0x0018046000       ok   assumed
 28  0x0010000000  256.0MiB    17.479    11.980  0x0020015000       ok  verified   assumed     5.539  0x0020058000       ok  verified   assumed     0.000  0x0020058000       ok   assumed
 28  0x0018000000  384.0MiB    26.218    18.227  0x0030015000       ok  verified   assumed     8.268  0x0030076000       ok  verified   assumed     0.000  0x0030076000       ok   assumed
 29  0x0020000000  512.0MiB    34.961    24.010  0x0040015000       ok  verified   assumed    11.025  0x0040097000       ok  verified   assumed     0.000  0x0040097000       ok   assumed
 29  0x0030000000  768.0MiB    52.470    37.984  0x0060016000       ok  verified   assumed    16.498  0x00600d8000       ok  verified   assumed     0.000  0x00600d8000       ok   assumed
 30  0x0040000000    1.0GiB    70.079    56.305  0x0080017000       ok  verified   assumed    22.100  0x0080118000       ok  verified   assumed     0.000  0x0080118000       ok   assumed
 30  0x0060000000    1.5GiB   105.276    86.318  0x00c0017000       ok  verified   assumed    37.845  0x00c0198000       ok  verified   assumed     0.000  0x00c0198000       ok   assumed
# CallFailedError()
 31  0x0080000000    2.0GiB   141.357    93.409        (None)   failed       bad  verified    (None)        (None)  not_executed  not_verified  not_verified    (None)        (None)  not_executed  not_verified
# CallFailedError()
 31  0x00c0000000    3.0GiB   211.893   128.150        (None)   failed       bad  verified    (None)        (None)  not_executed  not_verified  not_verified    (None)        (None)  not_executed  not_verified
# CallFailedError()
 32  0x0100000000    4.0GiB   282.741   178.890        (None)   failed       bad  verified    (None)        (None)  not_executed  not_verified  not_verified    (None)        (None)  not_executed  not_verified
# CallFailedError()
 32  0x0180000000    6.0GiB   423.654   445.871        (None)   failed       bad  verified    (None)        (None)  not_executed  not_verified  not_verified    (None)        (None)  not_executed  not_verified
