# Committing increasingly large files
# 
# reformat_partition: /dev/murphytest01-vg/test
# vcs:                prototype
# timeout:            19800.0
# vcs_version:        prototype: git version f464604 Tuning: Use 2x1 object dir structure
# data_gen:           random
# 
# date:          2017-04-20T22:36:32.683326
# commandline:   ./increasing_file_size.py prototype 0 38 --mag-step=2 --data-gen=random --timeout=19800 --tmp=/test --reformat-partition /dev/murphytest01-vg/test
# testversion:   7146442 Leave timeout info as comment in output
# hostname:      murphytest01
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7725260 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest01--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize   cre_time    c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait    c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait    gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
 20  0x0000100000    1.0MiB      0.075      0.201  0x0000244000       ok  verified   assumed           2           0           1          38           0      0.201  0x0000260000       ok  verified   assumed           2           0           1          38           0      0.000  0x0000260000       ok   assumed           0           0           0           0           0
 20  0x0000180000    1.5MiB      0.103      0.201  0x000037f000       ok  verified   assumed           4           0           0          36           0      0.201  0x000038b000       ok  verified   assumed           3           0           0          37           0      0.000  0x000038b000       ok   assumed           0           0           0           0           0
 21  0x0000200000    2.0MiB      0.141      0.201  0x000049c000       ok  verified   assumed           4           0           2          35           0      0.201  0x00004aa000       ok  verified   assumed           4           0           1          36           0      0.000  0x00004aa000       ok   assumed           0           0           0           0           0
 21  0x0000300000    3.0MiB      0.207      0.201  0x00006cd000       ok  verified   assumed           6           0           2          32           0      0.201  0x00006da000       ok  verified   assumed           6           0           0          34           0      0.000  0x00006da000       ok   assumed           0           0           0           0           0
 22  0x0000400000    4.0MiB      0.278      0.301  0x000090d000       ok  verified   assumed          10           0           1          49           0      0.201  0x000091e000       ok  verified   assumed           7           0           1          32           0      0.000  0x000091e000       ok   assumed           0           0           0           0           0
 22  0x0000600000    6.0MiB      0.410      0.301  0x0000d5f000       ok  verified   assumed          13           0           2          45           0      0.301  0x0000d73000       ok  verified   assumed          10           0           2          48           0      0.000  0x0000d73000       ok   assumed           0           0           0           0           0
 23  0x0000800000    8.0MiB      0.551      0.301  0x00011b7000       ok  verified   assumed          17           0           4          39           0      0.301  0x00011cb000       ok  verified   assumed          15           0           1          44           0      0.000  0x00011cb000       ok   assumed           0           0           1           0           0
 23  0x0000c00000   12.0MiB      0.820      0.401  0x0001a4f000       ok  verified   assumed          24           0           5          50           0      0.401  0x0001a5f000       ok  verified   assumed          22           0           1          57           0      0.000  0x0001a5f000       ok   assumed           0           0           1           1           0
 24  0x0001000000   16.0MiB      1.093      0.502  0x00022d5000       ok  verified   assumed          35           0           4          60           0      0.401  0x00022f0000       ok  verified   assumed          29           0           2          50           0      0.000  0x00022f0000       ok   assumed           0           0           1           1           0
 24  0x0001800000   24.0MiB      1.643      0.702  0x0003398000       ok  verified   assumed          52           0           7          81           0      0.602  0x00033b4000       ok  verified   assumed          44           0           2          75           0      0.000  0x00033b4000       ok   assumed           0           0           0           0           0
